,Symbol,Group,Family,Duration,Growth_Habit,Native_Status,Other_Name
3001,CHIN21,Dicot,Aizoaceae, , ,None,
3002,CHPL,Dicot,Araliaceae,Perennial,Tree,HI N,
3003,CHMA2,Dicot,Papaveraceae,Biennial,Forb/herb,CAN IL48 I,
3004,CHGL2,Dicot,Scrophulariaceae,Perennial,Forb/herb,CAN NL48 NSPM N,
3005,CHLY2,Dicot,Scrophulariaceae,Perennial,Forb/herb,L48 N,
3006,CHOB3,Dicot,Scrophulariaceae,Perennial,Forb/herb,L48 N,
3007,CHAL7,Dicot,Chenopodiaceae,Annual,Forb/herb,"AK ICAN I,NGL IHI IL48 I,NSPM I",
3008,CHAT,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN NL48 N,
3009,CHBEB,Dicot,Chenopodiaceae,Annual,Forb/herb,L48 N,
3010,CHBO,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN IL48 I,
3011,CHCA3,Dicot,Chenopodiaceae,Perennial,Forb/herb,L48 N,
3012,CHCA4,Dicot,Chenopodiaceae,Annual,Forb/herb,AK NCAN NL48 N,
3013,CHFR3,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN NL48 N,
3014,CHGL3,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN NL48 I,
3015,CHIN2,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN NL48 N,
3016,CHLE4,Dicot,Chenopodiaceae,Annual,Forb/herb,AK ICAN NL48 N,
3017,CHMU2,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN IHI IL48 IPR IVI I,aheaheagoosefootpigweed
3018,CHPO,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN IL48 I,
3019,CHRU,Dicot,Chenopodiaceae,Annual,Forb/herb,AK ICAN NL48 NSPM W,
3020,CHSI2,Dicot,Chenopodiaceae,Annual,Forb/herb,AK ICAN NL48 N,
3021,CHUR,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN IL48 I,
3022,CHVU,Dicot,Chenopodiaceae,Annual,Forb/herb,CAN IL48 I,
3023,CHILO,Dicot,Bignoniaceae, , ,L48 N,
3024,CHLI2,Dicot,Bignoniaceae,Perennial,ShrubTree,L48 N,
3025,CHLIA,Dicot,Bignoniaceae,Perennial,ShrubTree,L48 N,
3026,CHPA43,Liverwort,Geocalycaceae, ,Nonvascular,NA N,
3027,CHMA3,Dicot,Pyrolaceae,Perennial,Subshrub,CAN NL48 N,
3028,CHME,Dicot,Pyrolaceae,Perennial,Subshrub,CAN NL48 N,
3029,CHUM,Dicot,Pyrolaceae,Perennial,Subshrub,AK NCAN NL48 N,
3030,CHUMO2,Dicot,Pyrolaceae,Perennial,Subshrub,AK NL48 N,
3031,CHION,Dicot,Oleaceae, , ,L48 NPB NPR NVI N,
3032,CHCO12,Dicot,Oleaceae,Perennial,ShrubTree,PR NVI N,
3033,CHDO4,Dicot,Oleaceae,Perennial,ShrubTree,PR N,
3034,CHVI3,Dicot,Oleaceae,Perennial,ShrubTree,L48 N,
3035,CHION4,Monocot,Liliaceae, , ,L48 I,
3036,CHSA11,Monocot,Liliaceae, , ,None,
3037,CHJA,Dicot,Scrophulariaceae,Perennial,Forb/herb,L48 N,
3038,CHSP11,Dicot,Asteraceae,Perennial,Forb/herbShrubSubshrub,L48 N,
3039,CHLOR,Monocot,Poaceae, , ,"HI IL48 I,NPB IPR I,NVI I,N",
3040,CHAN,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3041,CHBA10,Monocot,Poaceae,Annual,Graminoid,HI IL48 IPB IPR NVI N,fingergrassmau'
3042,CHCA6,Monocot,Poaceae,Perennial,Graminoid,L48 I,
3043,CHCI,Monocot,Poaceae,AnnualPerennial,Graminoid,L48 NPR NVI N,
3044,CHCU2,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3045,CHEL3,Monocot,Poaceae,Perennial,Graminoid,HI IL48 IPR IVI N,
3046,CHGA2,Monocot,Poaceae,Perennial,Graminoid,HI IL48 IVI I,
3047,CHSU3,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3048,CHSU4,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3049,CHTE,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3050,CHVE,Monocot,Poaceae,Perennial,Graminoid,L48 I,
3051,CHVE2,Monocot,Poaceae,Perennial,Graminoid,L48 N,
3052,CHVI4,Monocot,Poaceae,Annual,Graminoid,HI IL48 NPB I,
3053,CHLOR3,Monocot,Liliaceae, , ,L48 N,
3054,CHPO3,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3055,CHPOD,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3056,CHPOM,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3057,CHPUP2,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3058,CHDU,Dicot,Rutaceae,Perennial,Shrub,L48 N,
3059,CHJU,Dicot,Asteraceae,Perennial,Forb/herb,CAN IL48 I,hogbite
3060,CHIN22,Dicot,Bombacaceae,Perennial,Tree,None,
3061,CHSP13,Dicot,Bombacaceae,Perennial,Tree,PR I,
3062,CHTE2,Dicot,Brassicaceae,Annual,Forb/herb,CAN WL48 I,
3063,CHORI2,Dicot,Polygonaceae, , ,L48 N,
3064,CHBR,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3065,CHBR2,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3066,CHCO6,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3067,CHFIF,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3068,CHHO2,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3069,CHLE6,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3070,CHPR4,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3071,CHPUH2,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3072,CHPUP3,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3073,CHRI,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3074,CHROH,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3075,CHROR,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3076,CHWH2,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3077,CHXA2,Dicot,Polygonaceae,Annual,Forb/herb,L48 N,
3078,CHIV,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,L48 NPR N,
3079,CHOD,Dicot,Asteraceae,Perennial,Subshrub,L48 NNAV NPB IPR NVI N,ngesngesil (Palau)
3080,CHME3,Dicot,Asteraceae,Perennial,ShrubSubshrub,L48 N,
3081,CHRYS2,Dicot,Asteraceae, , ,"AK NCAN NL48 I,N",
3082,CHAR13,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,"AK NCAN NL48 I,N",
3083,CHIC,Dicot,Chrysobalanaceae,Perennial,ShrubSubshrubTree,L48 NPR NVI N,icaco
3084,CHVI5,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3085,CHVIA,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3086,CHCHC4,Dicot,Fagaceae,Perennial,Tree,L48 N,
3087,CHCHM,Dicot,Fagaceae,Perennial,Shrub,L48 N,
3088,CHSE11,Dicot,Fagaceae,Perennial,Shrub,L48 N,
3089,CHCA10,Dicot,Sapotaceae,Perennial,Tree,PB IPR NVI I,
3090,CHOL,Dicot,Sapotaceae,Perennial,ShrubTree,HI IL48 NPR N,
3091,CHPA11,Monocot,Poaceae,Annual,Graminoid,L48 N,
3092,CHRYS7,Dicot,Asteraceae, , ,L48 N,
3093,CHFL8,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3094,CHGO,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3095,CHMA14,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3096,CHPI8,Dicot,Asteraceae,Annual,Forb/herb,L48 N,
3097,CHALS3,Dicot,Saxifragaceae,Perennial,Forb/herb,CAN NL48 N,
3098,CHAM2,Dicot,Saxifragaceae,Perennial,Forb/herb,CAN NL48 N,
3099,CHRYS9,Dicot,Asteraceae, , ,CAN NL48 N,
3100,CHDE2,Dicot,Asteraceae,Perennial,Subshrub,L48 N,
3101,CHMO2,Dicot,Asteraceae,Perennial,Shrub,L48 N,
3102,CHVI8,Dicot,Asteraceae,Perennial,Shrub,CAN NL48 N,
3103,CHMO12,Monocot,Poaceae, ,Graminoid,None,
3104,CHQU2,Monocot,Poaceae, ,Graminoid,None,
3105,CIBOT,Fern,Dicksoniaceae, , ,HI N,
3106,CIME8,Fern,Dicksoniaceae,Perennial,Tree,HI N,hapu`u `i`i
3107,CIIN,Dicot,Asteraceae,BiennialPerennial,Forb/herb,CAN IL48 ISPM I,French endivesuccory
3108,CIBU,Dicot,Apiaceae,Perennial,Forb/herb,AK NCAN NL48 N,
3109,CIDO,Dicot,Apiaceae,Perennial,Forb/herb,AK NCAN NL48 N,
3110,CIMA2,Dicot,Apiaceae,BiennialPerennial,Forb/herb,AK NCAN NL48 N,
3111,CIPU,Dicot,Rubiaceae,Perennial,Tree,HI IPB I,
3112,CIST70,Moss,Mniaceae, ,Nonvascular,NA N,
3113,CINER,Dicot,Asteraceae, , ,None,
3114,CIMU3,Dicot,Asteraceae, , ,None,
3115,CISA4,Dicot,Asteraceae, , ,None,
3116,CIAR2,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
3117,CILA2,Monocot,Poaceae,Perennial,Graminoid,AK NCAN NL48 NSPM N,
3118,CIBU2,Dicot,Lauraceae,Perennial,Tree,HI I,
3119,CICA,Dicot,Lauraceae,Perennial,Tree,HI IL48 IPR IVI I,
3120,CIAL,Dicot,Onagraceae,Perennial,Forb/herb,AK NCAN NL48 NSPM N,
3121,CIALP2,Dicot,Onagraceae,Perennial,Forb/herb,AK NCAN NL48 N,
3122,CILU,Dicot,Onagraceae,Perennial,Forb/herb,CAN NL48 N,
3123,CILUC,Dicot,Onagraceae,Perennial,Forb/herb,CAN NL48 N,
3124,CICI70,Moss,Brachytheciaceae, ,Nonvascular,NA N,
3125,CIRSI,Dicot,Asteraceae, , ,"AK I,NCAN I,N,WGL I,NHI IL48 I,NNA NPR NSPM I,N,W",
3126,CIAL2,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3127,CIAN,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3128,CIAN2,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3129,CIAR3,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3130,CIAR4,Dicot,Asteraceae,Perennial,Forb/herb,AK ICAN IGL IL48 ISPM I,
3131,CIBR2,Dicot,Asteraceae,AnnualBiennialPerennial,Forb/herb,CAN NL48 N,
3132,CICA10,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3133,CICA11,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3134,CICA7,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3135,CICL2,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3136,CICY,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3137,CIDI,Dicot,Asteraceae,BiennialPerennial,Forb/herb,CAN NL48 N,
3138,CIDR2,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
3139,CIEA,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3140,CIED,Dicot,Asteraceae,BiennialPerennial,Forb/herb,AK NCAN NL48 N,
3141,CIFL,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
3142,CIFOC,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3143,CIFOF,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3144,CIFOO,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3145,CIHI,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
3146,CIHO2,Dicot,Asteraceae,AnnualBiennial,Forb/herb,L48 N,
3147,CIHOH,Dicot,Asteraceae,AnnualBiennial,Forb/herb,L48 N,
3148,CILE2,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3149,CILO,Dicot,Asteraceae,AnnualBiennialPerennial,Forb/herb,L48 N,
3150,CIMO,Dicot,Asteraceae,AnnualBiennialPerennial,Forb/herb,L48 N,
3151,CIMU,Dicot,Asteraceae,Biennial,Forb/herb,CAN NL48 NSPM N,
3152,CINE,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3153,CIOC,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3154,CIOCC4,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3155,CIOCC,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3156,CIOCC2,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3157,CIOCO,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3158,CIOC2,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3159,CIPA5,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3160,CIPA6,Dicot,Asteraceae,Perennial,Forb/herb,CAN WL48 ISPM W,
3161,CIPA,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3162,CIPE4,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3163,CIPI,Dicot,Asteraceae,Biennial,Forb/herb,CAN NL48 N,
3164,CIPU4,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
3165,CIQU2,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3166,CIRH,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3167,CISC2,Dicot,Asteraceae,BiennialPerennial,Forb/herb,CAN NL48 N,
3168,CITE2,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3169,CIUN,Dicot,Asteraceae,BiennialPerennial,Forb/herb,CAN NL48 N,
3170,CIUNT,Dicot,Asteraceae,BiennialPerennial,Forb/herb,L48 N,
3171,CIVI,Dicot,Asteraceae,Biennial,Forb/herb,L48 N,
3172,CIVU,Dicot,Asteraceae,Biennial,Forb/herb,AK ICAN IHI IL48 ISPM I,
3173,CIPA4,Dicot,Menispermaceae,Perennial,ShrubVine,L48 NPR NVI N,
3174,CIAN3,Dicot,Vitaceae,Perennial,Vine,L48 I,
3175,CIQU5,Dicot,Vitaceae, , ,None,
3176,CITR2,Dicot,Vitaceae,Perennial,Vine,L48 NPR NVI N,
3177,CIMA4,Dicot,Portulacaceae,Annual,Forb/herb,L48 N,
3178,CIMO5,Dicot,Portulacaceae,Annual,Forb/herb,L48 N,
3179,CIUM,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,CAN NL48 N,
3180,CIUMC,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,CAN NL48 N,
3181,CIUMU,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,CAN NL48 N,
3182,CISTU,Dicot,Cistaceae, , ,L48 I,
3183,CILA10,Dicot,Cistaceae,Perennial,ShrubSubshrub,L48 I,jaralabandolabdanumlaudanum
3184,CIMO7,Dicot,Cistaceae,Perennial,ShrubSubshrub,L48 I,
3185,CIPU8,Dicot,Cistaceae, , ,None,
3186,CIPU7,Dicot,Cistaceae, , ,None,
3187,CICA8,Dicot,Verbenaceae,Perennial,ShrubTree,HI IPR N,
3188,CISP3,Dicot,Verbenaceae,Perennial,ShrubTree,HI IL48 NPR NVI N,
3189,CICO7,Dicot,Cucurbitaceae,Annual,Forb/herbVine,L48 I,
3190,CILA3,Dicot,Cucurbitaceae,Annual,Forb/herbVine,L48 INAV IPB IPR IVI I,
3191,CILAL,Dicot,Cucurbitaceae,Annual,Forb/herbVine,L48 IVI I,
3192,CIHY2,Dicot,Rutaceae,Perennial,Tree,None,
3193,CILI5,Dicot,Rutaceae,Perennial,ShrubTree,L48 IPB IPR I,
3194,CIPA3,Dicot,Rutaceae,Perennial,ShrubTree,L48 IPR I,
3195,CISI3,Dicot,Rutaceae,Perennial,ShrubTree,L48 IPB IPR IVI I,orange
3196,CLAR60,Lichen,Cladoniaceae, ,Lichenous,NA N,
3197,CLSU7,Lichen,Cladoniaceae, ,Lichenous,NA N,
3198,CLCA2,Monocot,Cyperaceae,Perennial,Graminoid,L48 N,
3199,CLMA,Monocot,Cyperaceae,Perennial,Graminoid,CAN NL48 N,
3200,CLMAJ,Monocot,Cyperaceae,Perennial,Graminoid,HI NL48 NPR N,
3201,CLPO60,Lichen,Cladoniaceae, ,Lichenous,NA N,
3202,CLADR,Dicot,Fabaceae, , ,CAN IL48 N,
3203,CLKE,Dicot,Fabaceae,Perennial,Tree,CAN IL48 N,yellowwood
3204,CLARK,Dicot,Onagraceae, , ,"CAN I,NL48 N",
3205,CLAF,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3206,CLAM,Dicot,Onagraceae,Annual,Forb/herb,"CAN I,NL48 N",
3207,CLAMW,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3208,CLBO,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3209,CLBR,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3210,CLCO,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3211,CLCY,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3212,CLCYC,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3213,CLDA,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3214,CLEP,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3215,CLIM,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3216,CLLA,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3217,CLLE2,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3218,CLPU2,Dicot,Onagraceae,Annual,Forb/herb,CAN NL48 N,
3219,CLPUQ,Dicot,Onagraceae,Annual,Forb/herb,CAN NL48 N,
3220,CLPUV,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3221,CLRH,Dicot,Onagraceae,Annual,Forb/herb,CAN NL48 N,
3222,CLRU,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3223,CLSP,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3224,CLSPI,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3225,CLSP6,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3226,CLUN,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3227,CLWI,Dicot,Onagraceae,Annual,Forb/herb,L48 N,
3228,CLAYT,Dicot,Portulacaceae, , ,"AK I?,NCAN NL48 NSPM N",
3229,CLCA,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 NSPM N,
3230,CLCO3,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 N,
3231,CLEXE2,Dicot,Portulacaceae,Annual,Forb/herb,CAN NL48 N,
3232,CLGY2,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,L48 N,
3233,CLLA2,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 N,
3234,CLLAL,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 N,
3235,CLME,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 N,
3236,CLNE,Dicot,Portulacaceae,Perennial,Forb/herb,L48 N,
3237,CLPA5,Dicot,Portulacaceae,Annual,Forb/herb,CAN NL48 N,
3238,CLPAP,Dicot,Portulacaceae,Annual,Forb/herb,CAN NL48 N,
3239,CLPE,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,AK I?CAN NL48 N,
3240,CLPEP,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,AK I?CAN NL48 N,
3241,CLRU2,Dicot,Portulacaceae,Annual,Forb/herb,CAN NL48 N,
3242,CLSA2,Dicot,Portulacaceae,Perennial,Forb/herb,AK NCAN N,
3243,CLSA3,Dicot,Portulacaceae,Annual,Forb/herb,L48 N,
3244,CLSIB,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,L48 N,
3245,CLSIS,Dicot,Portulacaceae,AnnualPerennial,Forb/herb,AK NCAN NL48 N,
3246,CLUM,Dicot,Portulacaceae,Perennial,Forb/herb,L48 N,
3247,CLVI3,Dicot,Portulacaceae,Perennial,Forb/herb,CAN NL48 N,
3248,CLDI,Monocot,Orchidaceae,Perennial,Forb/herb,L48 N,
3249,CLEIS3,Dicot,Cactaceae, , ,None,
3250,CLIC2,Dicot,Cactaceae, , ,None,
3251,CLEMA,Dicot,Ranunculaceae, , ,"CAN I,NL48 I,NPB I,NPR N",
3252,CLAD,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3253,CLCO2,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3254,CLCOC2,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3255,CLCR,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3256,CLDR,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3257,CLFR,Dicot,Ranunculaceae,Perennial,Forb/herbSubshrub,L48 N,
3258,CLGL,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3259,CLHE6,Dicot,Ranunculaceae, , ,None,
3260,CLHIH,Dicot,Ranunculaceae,Perennial,Forb/herbSubshrub,L48 N,
3261,CLHIS,Dicot,Ranunculaceae,Perennial,Forb/herbSubshrub,L48 N,
3262,CLLA3,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3263,CLLI2,Dicot,Ranunculaceae,Perennial,Vine,CAN NL48 N,hierba de chivoold-man's-beardvirgin's-bower
3264,CLMO10,Dicot,Ranunculaceae, , ,None,
3265,CLOCO,Dicot,Ranunculaceae,Perennial,Vine,CAN NL48 N,
3266,CLOC,Dicot,Ranunculaceae,Perennial,Forb/herbSubshrub,L48 N,
3267,CLPA2,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3268,CLPI,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3269,CLPIP,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3270,CLRE,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3271,CLTE4,Dicot,Ranunculaceae,Perennial,Vine,CAN IL48 I,
3272,CLVE,Dicot,Ranunculaceae,Perennial,Vine,L48 N,
3273,CLVI4,Dicot,Ranunculaceae,Perennial,Vine,CAN IL48 N,
3274,CLVI5,Dicot,Ranunculaceae,Perennial,Vine,CAN NL48 N,
3275,CLVI6,Dicot,Ranunculaceae,Perennial,Vine,CAN IL48 I,old-man's-beardtraveler's-joy
3276,CLEOM,Dicot,Capparaceae, , ,"CAN I,NHI IL48 I,NNAV IPB IPR I,NVI I,N",
3277,CLGY,Dicot,Capparaceae,Annual,Forb/herb,HI IL48 IPB IPR IVI I,
3278,CLHA,Dicot,Capparaceae,Annual,Forb/herbSubshrub,CAN IHI IL48 IPR IVI N,spider-flowerspiderplant
3279,CLHI6,Dicot,Capparaceae, , ,None,
3280,CLIS,Dicot,Capparaceae,Perennial,ShrubSubshrub,L48 N,
3281,CLLU2,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3282,CLLUJ,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3283,CLLUL,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3284,CLPL,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3285,CLSE,Dicot,Capparaceae,Annual,Forb/herb,CAN NL48 N,
3286,CLSP2,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3287,CLSP3,Dicot,Capparaceae,Annual,Forb/herbSubshrub,HI IL48 IPR NVI N,
3288,CLVI9,Dicot,Capparaceae,Annual,Forb/herbSubshrub,L48 INAV IPR IVI I,
3289,CLAN,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3290,CLHI2,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3291,CLPA3,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3292,CLPL2,Dicot,Capparaceae,Annual,Forb/herb,L48 N,
3293,CLERM,Dicot,Campanulaceae, , ,HI N,
3294,CLBU,Dicot,Verbenaceae,Perennial,ShrubTree,L48 IPR I,
3295,CLJA3,Dicot,Verbenaceae,Perennial,Shrub,HI IL48 I,
3296,CLAC3,Dicot,Clethraceae,Perennial,ShrubTree,L48 N,
3297,CLAL3,Dicot,Clethraceae,Perennial,Shrub,CAN NL48 N,
3298,CLPU6,Dicot,Fabaceae, , ,None,
3299,CLER,Dicot,Asteraceae,Perennial,ShrubTree,PR NVI N,
3300,CLCY5,Dicot,Melastomataceae,Perennial,ShrubTree,PR N,
3301,CLHI3,Dicot,Melastomataceae,Perennial,Shrub,HI IL48 NPB IPR NVI N,Koster's cursekui (Palau)
3302,CLMO2,Dicot,Cyrillaceae,Perennial,ShrubTree,L48 N,
3303,CLDE70,Moss,Climaciaceae, ,Nonvascular,NA N,
3304,CLAR5,Dicot,Lamiaceae,Perennial,Forb/herb,CAN NL48 N,
3305,CLGL4,Dicot,Lamiaceae,Perennial,Forb/herb,CAN IL48 N,
3306,CLVU,Dicot,Lamiaceae,Perennial,Forb/herb,CAN NL48 NSPM N,
3307,CLINT,Monocot,Liliaceae, , ,AK NCAN NL48 NSPM N,
3308,CLAN2,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3309,CLBO3,Monocot,Liliaceae,Perennial,Forb/herb,CAN NL48 NSPM N,
3310,CLUM2,Monocot,Liliaceae,Perennial,Forb/herb,L48 N,
3311,CLUN2,Monocot,Liliaceae,Perennial,Forb/herb,AK NCAN NL48 N,
3312,CLFA2,Dicot,Fabaceae,Perennial,Forb/herbVine,PR N,
3313,CLLA4,Dicot,Fabaceae,Perennial,Shrub,PB IPR N,
3314,CLMA4,Dicot,Fabaceae,Perennial,Forb/herbVine,L48 N,
3315,CLTE3,Dicot,Fabaceae,Perennial,Forb/herbVine,HI IL48 IPB IPR IVI I,
3316,CLIVI,Monocot,Liliaceae, , ,None,
3317,CLMI11,Monocot,Liliaceae, , ,None,
3318,CLCL2,Dicot,Clusiaceae,Perennial,Tree,PR N,
3319,CLGU,Dicot,Clusiaceae,Perennial,ShrubTreeVine,PR N,
3320,CLRO,Dicot,Clusiaceae,Perennial,ShrubTree,HI IL48 NPR NVI N,autograph tree
3321,CNDU,Dicot,Rutaceae,Perennial,Shrub,L48 N,
3322,CNICU,Dicot,Asteraceae, , ,CAN IL48 I,
3323,CNBE,Dicot,Asteraceae,Annual,Forb/herb,CAN IL48 I,
3324,CNTE,Dicot,Euphorbiaceae,Perennial,Forb/herb,L48 N,
3325,CNURS,Dicot,Euphorbiaceae,Perennial,Forb/herb,L48 N,
3326,COGR9,Dicot,Cucurbitaceae,Perennial,Forb/herbVine,HI IL48 IPB IVI I,
3327,CODI8,Dicot,Polygonaceae,Perennial,ShrubTree,L48 NNAV NPR NVI N,
3328,COKR,Dicot,Polygonaceae,Perennial,ShrubTree,PR NVI N,
3329,COMI,Dicot,Polygonaceae,Perennial,ShrubTree,PR NVI N,
3330,COSI2,Dicot,Polygonaceae,Perennial,Tree,PR N,
3331,COUV,Dicot,Polygonaceae,Perennial,ShrubTree,HI IL48 NPB IPR NVI N,sea grape
3332,COVE,Dicot,Polygonaceae,Perennial,ShrubTree,PR NVI N,
3333,COBA3,Monocot,Arecaceae,Perennial,ShrubTree,PR NVI N,
3334,COCA,Dicot,Menispermaceae,Perennial,Vine,L48 N,
3335,COGR6,Dicot,Brassicaceae,AnnualBiennialPerennial,Forb/herb,AK NCAN NGL NL48 NSPM N,
3336,COVI,Dicot,Bixaceae,Perennial,Tree,PR I,
3337,COCOS,Monocot,Arecaceae, , ,"HI IL48 I,WPB IPR IVI I",
3338,CONU,Monocot,Arecaceae,Perennial,Tree,"HI IL48 I,WL48 WPB IPR IVI I",
